Type,Category,Class,Generic,Brand
Prescription,Blood Pressure,Antihypertensives,Quinapril,Accupril
Prescription,Blood Pressure,Antihypertensives,Fosinopril,Monopril
Prescription,Blood Pressure,Antihypertensives,Captopril,Capoten
Prescription,Blood Pressure,Antihypertensives,Trandolapril,Mavik
Prescription,Blood Pressure,Antihypertensives,Perindopril,Aceon
Prescription,Blood Pressure,Antihypertensives,Telmisartan,Micardis
Prescription,Blood Pressure,Antihypertensives,Candesartan,Atacand
Prescription,Blood Pressure,Antihypertensives,Azilsartan,Edarbi
Prescription,Blood Pressure,Antihypertensives,Eprosartan,Teveten
Prescription,Blood Pressure,Antihypertensives,Irbesartan/Hydrochlorothiazide,Avalide
Prescription,Blood Pressure,Antihypertensives,Valsartan/Hydrochlorothiazide,Diovan HCT
Prescription,Blood Pressure,Antihypertensives,Olmesartan/Hydrochlorothiazide,Benicar HCT
Prescription,Blood Pressure,Antihypertensives,Telmisartan/Hydrochlorothiazide,Micardis HCT
Prescription,Blood Pressure,Antihypertensives,Candesartan/Hydrochlorothiazide,Atacand HCT
Prescription,Blood Pressure,Antihypertensives,Amlodipine/Benazepril,Lotrel
Prescription,Blood Pressure,Antihypertensives,Amlodipine/Valsartan,Exforge
Prescription,Blood Pressure,Antihypertensives,Amlodipine/Olmesartan,Azor
Prescription,Blood Pressure,Antihypertensives,Amlodipine/Perindopril,Prestalia
Prescription,Blood Pressure,Antihypertensives,Lisinopril/Hydrochlorothiazide,Zestoretic
Prescription,Blood Pressure,Antihypertensives,Lisinopril/Hydrochlorothiazide,Prinzide
Prescription,Blood Pressure,Antihypertensives,Benazepril/Hydrochlorothiazide,Lotensin HCT
Prescription,Blood Pressure,Antihypertensives,Quinapril/Hydrochlorothiazide,Accuretic
Prescription,Blood Pressure,Antihypertensives,Trandolapril/Verapamil,Tarka
Prescription,Blood Pressure,Antihypertensives,Nebivolol,Bystolic
Prescription,Blood Pressure,Antihypertensives,Bisoprolol,Zebeta
Prescription,Blood Pressure,Antihypertensives,Labetalol,Trandate
Prescription,Blood Pressure,Antihypertensives,Labetalol,Normodyne
Prescription,Blood Pressure,Antihypertensives,Nadolol,Corgard
Prescription,Blood Pressure,Antihypertensives,Acebutolol,Sectral
Prescription,Blood Pressure,Antihypertensives,Verapamil,Calan
Prescription,Blood Pressure,Antihypertensives,Verapamil,Calan SR
Prescription,Blood Pressure,Antihypertensives,Verapamil,Verelan
Prescription,Blood Pressure,Antihypertensives,Nifedipine ER,Adalat CC
Prescription,Blood Pressure,Antihypertensives,Nifedipine ER,Procardia XL
Prescription,Blood Pressure,Antihypertensives,Methyldopa,
Prescription,Blood Pressure,Antihypertensives,Minoxidil (oral),Loniten
Prescription,Blood Pressure,Antihypertensives,Eplerenone,Inspra
Prescription,Blood Pressure,Antihypertensives,Amiloride,Midamor
Prescription,Blood Pressure,Antihypertensives,Triamterene/Hydrochlorothiazide,Dyazide
Prescription,Blood Pressure,Antihypertensives,Triamterene/Hydrochlorothiazide,Maxzide
Prescription,Blood Pressure,Antihypertensives,Torsemide,Demadex
Prescription,Blood Pressure,Antihypertensives,Bumetanide,Bumex
Prescription,Blood Pressure,Antihypertensives,Ethacrynic acid,Edecrin
Prescription,Blood Pressure,Anti-anginal,Isosorbide mononitrate,Imdur
Prescription,Blood Pressure,Anti-anginal,Isosorbide mononitrate,Monoket
Prescription,Blood Pressure,Anti-anginal,Isosorbide dinitrate,Isordil
Prescription,Blood Pressure,Anti-anginal,Isosorbide dinitrate,Dilatrate-SR
Prescription,Blood Thinners,Anticoagulants,Warfarin,Coumadin
Prescription,Blood Thinners,Anticoagulants,Warfarin,Jantoven
Prescription,Blood Thinners,Anticoagulants,Apixaban,Eliquis
Prescription,Blood Thinners,Anticoagulants,Rivaroxaban,Xarelto
Prescription,Blood Thinners,Anticoagulants,Dabigatran,Pradaxa
Prescription,Blood Thinners,Anticoagulants,Edoxaban,Savaysa
Prescription,Blood Thinners,Anticoagulants,Heparin,
Prescription,Blood Thinners,Anticoagulants,Enoxaparin,Lovenox
Prescription,Blood Thinners,Anticoagulants,Fondaparinux,Arixtra
Prescription,Blood Thinners,Anticoagulants,Clopidogrel,Plavix
Prescription,Blood Thinners,Anticoagulants,Prasugrel,Effient
Prescription,Blood Thinners,Anticoagulants,Ticagrelor,Brilinta
Prescription,Blood Thinners,Anticoagulants,Aspirin,Bayer Aspirin
Prescription,Blood Thinners,Anticoagulants,Aspirin,Ecotrin
Prescription,Blood Thinners,Anticoagulants,Dipyridamole,Persantine
Prescription,Blood Thinners,Anticoagulants,Cilostazol,Pletal
Prescription,Blood Thinners,Anticoagulants,Bivalirudin,Angiomax
Prescription,Blood Thinners,Anticoagulants,Argatroban,
Prescription,Blood Thinners,Anticoagulants,Abciximab,ReoPro
Prescription,Blood Thinners,Anticoagulants,Eptifibatide,Integrilin
Prescription,Blood Thinners,Anticoagulants,Tirofiban,Aggrastat
Prescription,Blood Thinners,Anticoagulants,Vorapaxar,Zontivity
Prescription,Breathing - Respiratory,Respiratory Agents,Albuterol,ProAir HFA
Prescription,Breathing - Respiratory,Respiratory Agents,Albuterol,Ventolin HFA
Prescription,Breathing - Respiratory,Respiratory Agents,Albuterol,Proventil HFA
Prescription,Breathing - Respiratory,Respiratory Agents,Albuterol,AccuNeb
Prescription,Breathing - Respiratory,Respiratory Agents,Levalbuterol,Xopenex
Prescription,Breathing - Respiratory,Respiratory Agents,Levalbuterol,Xopenex HFA
Prescription,Breathing - Respiratory,Respiratory Agents,Salmeterol,Serevent Diskus
Prescription,Breathing - Respiratory,Respiratory Agents,Formoterol,Perforomist
Prescription,Breathing - Respiratory,Respiratory Agents,Vilanterol,
Prescription,Breathing - Respiratory,Respiratory Agents,Indacaterol,Arcapta Neohaler
Prescription,Breathing - Respiratory,Respiratory Agents,Tiotropium,Spiriva HandiHaler
Prescription,Breathing - Respiratory,Respiratory Agents,Tiotropium,Spiriva Respimat
Prescription,Breathing - Respiratory,Respiratory Agents,Aclidinium,Tudorza Pressair
Prescription,Breathing - Respiratory,Respiratory Agents,Umeclidinium,Incruse Ellipta
Prescription,Breathing - Respiratory,Respiratory Agents,Glycopyrrolate,Seebri Neohaler
Prescription,Breathing - Respiratory,Respiratory Agents,Glycopyrrolate,Lonhala Magnair
Prescription,Breathing - Respiratory,Respiratory Agents,Ipratropium,Atrovent HFA
Prescription,Breathing - Respiratory,Respiratory Agents,Fluticasone/Salmeterol,Advair Diskus
Prescription,Breathing - Respiratory,Respiratory Agents,Fluticasone/Salmeterol,Advair HFA
Prescription,Breathing - Respiratory,Respiratory Agents,Fluticasone/Salmeterol,AirDuo Digihaler
Prescription,Breathing - Respiratory,Respiratory Agents,Budesonide/Formoterol,Symbicort
Prescription,Breathing - Respiratory,Respiratory Agents,Mometasone/Formoterol,Dulera
Prescription,Breathing - Respiratory,Respiratory Agents,Fluticasone/Vilanterol,Breo Ellipta
Prescription,Breathing - Respiratory,Respiratory Agents,Beclomethasone,Qvar RediHaler
Prescription,Breathing - Respiratory,Respiratory Agents,Budesonide,Pulmicort Flexhaler
Prescription,Breathing - Respiratory,Respiratory Agents,Budesonide,Pulmicort Respules
Prescription,Breathing - Respiratory,Respiratory Agents,Fluticasone,Arnuity Ellipta
Prescription,Breathing - Respiratory,Respiratory Agents,Montelukast,Singulair
Prescription,Breathing - Respiratory,Respiratory Agents,Zafirlukast,Accolate
Prescription,Breathing - Respiratory,Respiratory Agents,Fluticasone/Umeclidinium/Vilanterol,Trelegy Ellipta
Prescription,Breathing - Respiratory,Respiratory Agents,Umeclidinium/Vilanterol,Anoro Ellipta
Prescription,Breathing - Respiratory,Respiratory Agents,Tiotropium/Olodaterol,Stiolto Respimat
Prescription,Breathing - Respiratory,Respiratory Agents,Glycopyrrolate/Formoterol,Bevespi Aerosphere
Prescription,Breathing - Respiratory,Respiratory Agents,Revefenacin,Yupelri
Prescription,Breathing - Respiratory,Respiratory Agents,Roflumilast,Daliresp
Prescription,Breathing - Respiratory,Respiratory Agents,Theophylline,Theo-24
Prescription,Breathing - Respiratory,Respiratory Agents,Theophylline,Uniphyl
Prescription,Breathing - Respiratory,Respiratory Agents,Cromolyn (nebulizer),Intal
Prescription,Breathing - Respiratory,Corticosteroids,Prednisone,Rayos
Prescription,Breathing - Respiratory,Corticosteroids,Methylprednisolone,Medrol
Prescription,Breathing - Respiratory,Corticosteroids,Dexamethasone,Decadron
Prescription,Breathing - Respiratory,Corticosteroids,Hydrocortisone,Cortef
Prescription,Breathing - Respiratory,Corticosteroids,Triamcinolone,Kenalog
Prescription,Breathing - Respiratory,Corticosteroids,Betamethasone,Celestone
Prescription,Breathing - Respiratory,Corticosteroids,Fluticasone,Arnuity Ellipta
Prescription,Breathing - Respiratory,Corticosteroids,Budesonide,Pulmicort Flexhaler
Prescription,Breathing - Respiratory,Corticosteroids,Budesonide,Pulmicort Respules
Prescription,Breathing - Respiratory,Corticosteroids,Beclomethasone,Qvar RediHaler
Prescription,Breathing - Respiratory,Corticosteroids,Mometasone,
Prescription,Breathing - Respiratory,Corticosteroids,Ciclesonide,
Prescription,Breathing - Respiratory,Corticosteroids,Clobetasol,Temovate
Prescription,Breathing - Respiratory,Corticosteroids,Halobetasol,Ultravate
Prescription,Breathing - Respiratory,Corticosteroids,Fluocinonide,Lidex
Prescription,Breathing - Respiratory,Corticosteroids,Desoximetasone,Topicort
Prescription,Breathing - Respiratory,Corticosteroids,Flurandrenolide,Cordran
Prescription,Breathing - Respiratory,Corticosteroids,Prednisolone,Prelone
Prescription,Breathing - Respiratory,Corticosteroids,Prednisolone,Orapred
Prescription,Breathing - Respiratory,Corticosteroids,Loteprednol,Lotemax
Prescription,Breathing - Respiratory,Corticosteroids,Rimexolone,Vexol
Prescription,Breathing - Respiratory,Corticosteroids,Difluprednate,Durezol
Prescription,Breathing - Respiratory,Cough,Benzonatate,Tessalon
Prescription,Breathing - Respiratory,Cough,Benzonatate,Tessalon Perles
Prescription,Breathing - Respiratory,Cardiology,Digoxin,Lanoxin
Prescription,Breathing - Respiratory,Cardiology,Amiodarone,Pacerone
Prescription,Breathing - Respiratory,Cardiology,Amiodarone,Cordarone
Prescription,Breathing - Respiratory,Cardiology,Ranolazine,Ranexa
Prescription,Breathing - Respiratory,Cardiology,Ivabradine,Corlanor
Prescription,Breathing - Respiratory,Cardiology,Nitroglycerin (sublingual),Nitrostat
Prescription,Breathing - Respiratory,Cardiology,Nitroglycerin (sublingual),Nitromist
Prescription,Breathing - Respiratory,Cardiology,Nitroglycerin (sublingual),Nitrolingual
Prescription,Cancer - Blood Disorders,Hematology,Ferrous sulfate,Ferosul
Prescription,Cancer - Blood Disorders,Hematology,Ferrous gluconate,Fergon
Prescription,Cholesterol,Lipid Agents,Ezetimibe,Zetia
Prescription,Cholesterol,Lipid Agents,Fenofibrate,Tricor
Prescription,Cholesterol,Lipid Agents,Fenofibrate,Triglide
Prescription,Cholesterol,Lipid Agents,Fenofibrate,Antara
Prescription,Cholesterol,Lipid Agents,Fenofibrate,Fenoglide
Prescription,Cholesterol,Lipid Agents,Fenofibrate,Lofibra
Prescription,Cholesterol,Lipid Agents,Bempedoic acid,Nexletol
Prescription,Cholesterol,Lipid Agents,Alirocumab,Praluent
Prescription,Cholesterol,Lipid Agents,Evolocumab,Repatha
Prescription,Cholesterol,Lipid Agents,Inclisiran,Leqvio
Prescription,Cholesterol,Lipid Agents,Icosapent ethyl,Vascepa
Prescription,Cholesterol,Lipid Agents,Omega-3 acid ethyl esters,Lovaza
Prescription,Cholesterol,Lipid Agents,Cholestyramine,Questran
Prescription,Cholesterol,Lipid Agents,Cholestyramine,Prevalite
Prescription,Cholesterol,Lipid Agents,Colestipol,Colestid
Prescription,Cholesterol,Statins,Atorvastatin,Lipitor
Prescription,Cholesterol,Statins,Rosuvastatin,Crestor
Prescription,Cholesterol,Statins,Simvastatin,Zocor
Prescription,Cholesterol,Statins,Pravastatin,Pravachol
Prescription,Cholesterol,Statins,Lovastatin,Mevacor
Prescription,Cholesterol,Statins,Lovastatin,Altoprev
Prescription,Cholesterol,Statins,Pitavastatin,Livalo
Prescription,Cholesterol,Statins,Fluvastatin,Lescol
Prescription,Diabetes,Antidiabetics,Metformin,Glucophage
Prescription,Diabetes,Antidiabetics,Metformin,Glucophage XR
Prescription,Diabetes,Antidiabetics,Metformin,Riomet
Prescription,Diabetes,Antidiabetics,Insulin glargine,Lantus
Prescription,Diabetes,Antidiabetics,Insulin glargine,Basaglar
Prescription,Diabetes,Antidiabetics,Insulin glargine,Semglee
Prescription,Diabetes,Antidiabetics,Insulin lispro,Humalog
Prescription,Diabetes,Antidiabetics,Insulin lispro,Admelog
Prescription,Diabetes,Antidiabetics,Insulin lispro,Lyumjev
Prescription,Diabetes,Antidiabetics,Insulin aspart,NovoLog
Prescription,Diabetes,Antidiabetics,Insulin aspart,Fiasp
Prescription,Diabetes,Antidiabetics,Insulin detemir,Levemir
Prescription,Diabetes,Antidiabetics,Insulin degludec,Tresiba
Prescription,Diabetes,Antidiabetics,Empagliflozin,Jardiance
Prescription,Diabetes,Antidiabetics,Dapagliflozin,Farxiga
Prescription,Diabetes,Antidiabetics,Canagliflozin,Invokana
Prescription,Diabetes,Antidiabetics,Ertugliflozin,Steglatro
Prescription,Diabetes,Antidiabetics,Semaglutide,Ozempic
Prescription,Diabetes,Antidiabetics,Semaglutide,Rybelsus
Prescription,Diabetes,Antidiabetics,Semaglutide,Wegovy
Prescription,Diabetes,Antidiabetics,Liraglutide,Victoza
Prescription,Diabetes,Antidiabetics,Liraglutide,Saxenda
Prescription,Diabetes,Antidiabetics,Dulaglutide,Trulicity
Prescription,Diabetes,Antidiabetics,Exenatide,Byetta
Prescription,Diabetes,Antidiabetics,Exenatide,Bydureon
Prescription,Diabetes,Antidiabetics,Glipizide,Glucotrol
Prescription,Diabetes,Antidiabetics,Glipizide,Glucotrol XL
Prescription,Diabetes,Antidiabetics,Glyburide,Diabeta
Prescription,Diabetes,Antidiabetics,Glyburide,Micronase
Prescription,Diabetes,Antidiabetics,Glyburide,Glynase
Prescription,Diabetes,Antidiabetics,Glimepiride,Amaryl
Prescription,Diabetes,Antidiabetics,Sitagliptin,Januvia
Prescription,Diabetes,Antidiabetics,Linagliptin,Tradjenta
Prescription,Diabetes,Antidiabetics,Pioglitazone,Actos
Prescription,Diabetes,Antidiabetics,Tirzepatide,Mounjaro
Prescription,Diabetes,Antidiabetics,Tirzepatide,Zepbound
Prescription,Diabetes,Antidiabetics,Acarbose,Precose
Prescription,Diabetes,Antidiabetics,Miglitol,Glyset
Prescription,Diabetes,Antidiabetics,Repaglinide,Prandin
Prescription,Diabetes,Antidiabetics,Nateglinide,Starlix
Prescription,Diabetes,Antidiabetics,Alogliptin,Nesina
Prescription,Diabetes,Antidiabetics,Saxagliptin,Onglyza
Prescription,Diabetes,Antidiabetics,Pramlintide,Symlin
Prescription,Diabetes,Antidiabetics,Colesevelam,Welchol
Prescription,Hormones or Contraceptives,Hormones,Estradiol,Climara
Prescription,Hormones or Contraceptives,Hormones,Estradiol,Vivelle-Dot
Prescription,Hormones or Contraceptives,Hormones,Estradiol,Estrace
Prescription,Hormones or Contraceptives,Hormones,Estradiol,Divigel
Prescription,Hormones or Contraceptives,Hormones,Estradiol,Estraderm
Prescription,Hormones or Contraceptives,Hormones,Progesterone,Prometrium
Prescription,Hormones or Contraceptives,Hormones,Testosterone,AndroGel
Prescription,Hormones or Contraceptives,Hormones,Testosterone,Testim
Prescription,Hormones or Contraceptives,Hormones,Testosterone,Axiron
Prescription,Hormones or Contraceptives,Hormones,Testosterone,Androderm
Prescription,Hormones or Contraceptives,Hormones/Contraceptives,Norethindrone,Aygestin
Prescription,Hormones or Contraceptives,Hormones/Contraceptives,Norethindrone,Camila
Prescription,Hormones or Contraceptives,Hormones/Contraceptives,Norethindrone,Micronor
Prescription,Hormones or Contraceptives,Endocrine,Fludrocortisone,Florinef
Prescription,Hormones or Contraceptives,Endocrine,Desmopressin,DDAVP
Prescription,Hormones or Contraceptives,Endocrine,Desmopressin,Noctiva
Prescription,Hormones or Contraceptives,Endocrine,Desmopressin,Nocdurna
Prescription,Infection Fighting,Antibiotics,Amoxicillin,Amoxil
Prescription,Infection Fighting,Antibiotics,Amoxicillin,Moxatag
Prescription,Infection Fighting,Antibiotics,Amoxicillin/Clavulanate,Augmentin
Prescription,Infection Fighting,Antibiotics,Penicillin V,Veetids
Prescription,Infection Fighting,Antibiotics,Cephalexin,Keflex
Prescription,Infection Fighting,Antibiotics,Cefuroxime,Ceftin
Prescription,Infection Fighting,Antibiotics,Cefdinir,Omnicef
Prescription,Infection Fighting,Antibiotics,Ceftriaxone,Rocephin
Prescription,Infection Fighting,Antibiotics,Azithromycin,Zithromax
Prescription,Infection Fighting,Antibiotics,Azithromycin,Z-Pak
Prescription,Infection Fighting,Antibiotics,Azithromycin,Tri-Pak
Prescription,Infection Fighting,Antibiotics,Clarithromycin,Biaxin
Prescription,Infection Fighting,Antibiotics,Erythromycin,Ery-Tab
Prescription,Infection Fighting,Antibiotics,Erythromycin,E.E.S.
Prescription,Infection Fighting,Antibiotics,Doxycycline,Vibramycin
Prescription,Infection Fighting,Antibiotics,Doxycycline,Doryx
Prescription,Infection Fighting,Antibiotics,Minocycline,Minocin
Prescription,Infection Fighting,Antibiotics,Minocycline,Solodyn
Prescription,Infection Fighting,Antibiotics,Levofloxacin,Levaquin
Prescription,Infection Fighting,Antibiotics,Ciprofloxacin,Cipro
Prescription,Infection Fighting,Antibiotics,Moxifloxacin,Avelox
Prescription,Infection Fighting,Antibiotics,Clindamycin,Cleocin
Prescription,Infection Fighting,Antibiotics,Metronidazole,Flagyl
Prescription,Infection Fighting,Antibiotics,Trimethoprim/Sulfamethoxazole,Bactrim
Prescription,Infection Fighting,Antibiotics,Trimethoprim/Sulfamethoxazole,Septra
Prescription,Infection Fighting,Antibiotics,Nitrofurantoin,Macrobid
Prescription,Infection Fighting,Antibiotics,Nitrofurantoin,Macrodantin
Prescription,Infection Fighting,Antibiotics,Linezolid,Zyvox
Prescription,Infection Fighting,Antibiotics,Ampicillin,Principen
Prescription,Infection Fighting,Antibiotics,Dicloxacillin,Dynapen
Prescription,Infection Fighting,Antibiotics,Cefpodoxime,Vantin
Prescription,Infection Fighting,Antibiotics,Cefprozil,Cefzil
Prescription,Infection Fighting,Antibiotics,Cefixime,Suprax
Prescription,Infection Fighting,Antibiotics,Cefazolin,Ancef
Prescription,Infection Fighting,Antibiotics,Ceftazidime,Fortaz
Prescription,Infection Fighting,Antibiotics,Ceftazidime,Tazicef
Prescription,Infection Fighting,Antibiotics,Fosfomycin,Monurol
Prescription,Infection Fighting,Antibiotics,Tetracycline,Sumycin
Prescription,Infection Fighting,Antibiotics,Vancomycin (oral),Vancocin
Prescription,Infection Fighting,Antibiotics,Fidaxomicin,Dificid
Prescription,Infection Fighting,Antifungals,Fluconazole,Diflucan
Prescription,Infection Fighting,Antifungals,Itraconazole,Sporanox
Prescription,Infection Fighting,Antifungals,Itraconazole,Onmel
Prescription,Infection Fighting,Antifungals,Terbinafine (oral),Lamisil
Prescription,Infection Fighting,Antifungals,Nystatin (oral),Mycostatin
Prescription,Infection Fighting,Antifungals,Nystatin (topical),Mycostatin
Prescription,Infection Fighting,Antivirals,Valacyclovir,Valtrex
Prescription,Infection Fighting,Antivirals,Acyclovir,Zovirax
Prescription,Infection Fighting,Antivirals,Famciclovir,Famvir
Prescription,Infection Fighting,Antivirals,Oseltamivir,Tamiflu
Prescription,Infection Fighting,Antivirals,Baloxavir,Xofluza
Prescription,Infection Fighting,Antivirals,Nirmatrelvir/Ritonavir,Paxlovid
Prescription,Mental Health,Antidepressants,Sertraline,Zoloft
Prescription,Mental Health,Antidepressants,Fluoxetine,Prozac
Prescription,Mental Health,Antidepressants,Fluoxetine,Sarafem
Prescription,Mental Health,Antidepressants,Escitalopram,Lexapro
Prescription,Mental Health,Antidepressants,Citalopram,Celexa
Prescription,Mental Health,Antidepressants,Paroxetine,Paxil
Prescription,Mental Health,Antidepressants,Paroxetine,Paxil CR
Prescription,Mental Health,Antidepressants,Paroxetine,Brisdelle
Prescription,Mental Health,Antidepressants,Duloxetine,Cymbalta
Prescription,Mental Health,Antidepressants,Venlafaxine,Effexor XR
Prescription,Mental Health,Antidepressants,Desvenlafaxine,Pristiq
Prescription,Mental Health,Antidepressants,Bupropion,Wellbutrin
Prescription,Mental Health,Antidepressants,Bupropion,Wellbutrin SR
Prescription,Mental Health,Antidepressants,Bupropion,Wellbutrin XL
Prescription,Mental Health,Antidepressants,Bupropion,Zyban
Prescription,Mental Health,Antidepressants,Bupropion,Aplenzin
Prescription,Mental Health,Antidepressants,Amitriptyline,Elavil
Prescription,Mental Health,Antidepressants,Nortriptyline,Pamelor
Prescription,Mental Health,Antidepressants,Imipramine,Tofranil
Prescription,Mental Health,Antidepressants,Mirtazapine,Remeron
Prescription,Mental Health,Antidepressants,Mirtazapine,Remeron SolTab
Prescription,Mental Health,Antidepressants,Trazodone,Desyrel
Prescription,Mental Health,Antidepressants,Trazodone,Oleptro
Prescription,Mental Health,Antidepressants,Vilazodone,Viibryd
Prescription,Mental Health,Antidepressants,Vortioxetine,Trintellix
Prescription,Mental Health,Antidepressants,Clomipramine,Anafranil
Prescription,Mental Health,Antidepressants,Doxepin,Silenor
Prescription,Mental Health,Antidepressants,Selegiline,Emsam
Prescription,Mental Health,Antidepressants,Phenelzine,Nardil
Prescription,Mental Health,Antipsychotics,Risperidone,Risperdal
Prescription,Mental Health,Antipsychotics,Olanzapine,Zyprexa
Prescription,Mental Health,Antipsychotics,Quetiapine,Seroquel
Prescription,Mental Health,Antipsychotics,Quetiapine,Seroquel XR
Prescription,Mental Health,Antipsychotics,Aripiprazole,Abilify
Prescription,Mental Health,Antipsychotics,Ziprasidone,Geodon
Prescription,Mental Health,Antipsychotics,Lurasidone,Latuda
Prescription,Mental Health,Antipsychotics,Clozapine,Clozaril
Prescription,Mental Health,Antipsychotics,Clozapine,FazaClo
Prescription,Mental Health,Antipsychotics,Clozapine,Versacloz
Prescription,Mental Health,Antipsychotics,Haloperidol,Haldol
Prescription,Mental Health,Antipsychotics,Chlorpromazine,Thorazine
Prescription,Mental Health,Antipsychotics,Fluphenazine,Prolixin
Prescription,Mental Health,Antipsychotics,Perphenazine,Trilafon
Prescription,Mental Health,Antipsychotics,Thiothixene,Navane
Prescription,Mental Health,Antipsychotics,Thioridazine,Mellaril
Prescription,Mental Health,Antipsychotics,Paliperidone,Invega
Prescription,Mental Health,Antipsychotics,Iloperidone,Fanapt
Prescription,Mental Health,Antipsychotics,Asenapine,Saphris
Prescription,Mental Health,Antipsychotics,Cariprazine,Vraylar
Prescription,Mental Health,Antipsychotics,Brexpiprazole,Rexulti
Prescription,Mental Health,Antipsychotics,Molindone,Moban
Prescription,Mental Health,Antipsychotics,Pimozide,Orap
Prescription,Mental Health,Anxiolytics,Alprazolam,Xanax
Prescription,Mental Health,Anxiolytics,Lorazepam,Ativan
Prescription,Mental Health,Anxiolytics,Diazepam,Valium
Prescription,Mental Health,Anxiolytics,Clonazepam,Klonopin
Prescription,Mental Health,Anxiolytics,Chlordiazepoxide,Librium
Prescription,Mental Health,Anxiolytics,Oxazepam,Serax
Prescription,Mental Health,Anxiolytics,Temazepam,Restoril
Prescription,Mental Health,Anxiolytics,Midazolam,Versed
Prescription,Mental Health,Anxiolytics,Triazolam,Halcion
Prescription,Mental Health,Anxiolytics,Estazolam,ProSom
Prescription,Mental Health,Anxiolytics,Buspirone,Buspar
Prescription,Mental Health,Anxiolytics,Zolpidem,Ambien
Prescription,Mental Health,Anxiolytics,Zolpidem,Ambien CR
Prescription,Mental Health,Anxiolytics,Zolpidem,Zolpimist
Prescription,Mental Health,Anxiolytics,Zolpidem,Edluar
Prescription,Mental Health,Anxiolytics,Zolpidem,Intermezzo
Prescription,Mental Health,Anxiolytics,Zaleplon,Sonata
Prescription,Mental Health,Anxiolytics,Eszopiclone,Lunesta
Prescription,Mental Health,Anxiolytics,Hydroxyzine,Vistaril
Prescription,Mental Health,Anxiolytics,Hydroxyzine,Atarax
Prescription,Mental Health,Anxiolytics,Meprobamate,Miltown
Prescription,Mental Health,Anxiolytics,Meprobamate,Equanil
Prescription,Mental Health,Anxiolytics,Clobazam,Onfi
Prescription,Mental Health,Anxiolytics,Etizolam,
Prescription,Mental Health,Anxiolytics,Flurazepam,Dalmane
Prescription,Mental Health,Anxiolytics,Quazepam,Doral
